Tds,bootCounter,bootThreshold,deepSleepTimerMinutes,hoursUptime,latitude,localeName,locationName,longitude,minutesUptime,pH,secondsUptime,temperature,ts
452.888,2,2,2,0,60.81614,Forssa,HAMK,23.62337,11,7.952998,16,21.8125,2024-08-08T17:08:41.742Z
202.9553,2,2,2,0,60.81614,Forssa,HAMK,23.62337,16,7.860616,53,21.9375,2024-08-08T17:14:14.288Z
388.1859,2,2,2,0,60.81614,Forssa,HAMK,23.62337,5,7.831442,50,22.125,2024-08-08T17:25:21.424Z
429.9565,2,2,2,0,60.81614,Forssa,HAMK,23.62337,11,7.831442,34,22.125,2024-08-08T17:30:54.147Z
192.5526,2,2,2,0,60.81614,Forssa,HAMK,23.62337,16,7.816855,46,22.1875,2024-08-08T17:35:25.269Z
191.3161,2,2,2,0,60.81614,Forssa,HAMK,23.62337,28,7.816855,22,22.1875,2024-08-08T17:41:58.954Z
186.9676,2,2,2,1,60.81614,Forssa,HAMK,23.62337,33,7.816855,41,22.1875,2024-08-08T17:53:08.631Z
187.5908,2,2,2,1,60.81614,Forssa,HAMK,23.62337,39,7.826568,45,22.1875,2024-08-08T17:58:42.006Z
186.3437,2,2,2,1,60.81614,Forssa,HAMK,23.62337,52,7.821718,0,22.25,2024-08-08T18:04:15.354Z
185.0939,2,2,2,1,60.81614,Forssa,HAMK,23.62337,50,7.821718,37,22.25,2024-08-08T18:10:20.875Z
183.2143,2,2,2,1,60.81614,Forssa,HAMK,23.62337,56,7.821718,55,22.25,2024-08-08T18:15:27.565Z
183.2143,2,2,2,1,60.81614,Forssa,HAMK,23.62337,55,7.821718,42,22.25,2024-08-08T18:20:27.374Z
183.2143,2,2,2,1,60.81614,Forssa,HAMK,23.62337,42,7.821718,28,22.25,2024-08-08T18:32:01.929Z
182.5865,2,2,2,1,60.81614,Forssa,HAMK,23.62337,41,7.816855,20,22.1875,2024-08-08T18:34:10.105Z
181.9579,2,2,2,1,60.81614,Forssa,HAMK,23.62337,30,7.816855,8,22.1875,2024-08-08T18:38:41.774Z
181.3288,2,2,2,1,60.81614,Forssa,HAMK,23.62337,38,7.816855,34,22.1875,2024-08-08T18:50:54.130Z
180.6989,2,2,2,1,60.81614,Forssa,HAMK,23.62337,52,7.816855,38,22.1875,2024-08-08T19:16:27.462Z
180.0684,2,2,2,2,60.81614,Forssa,HAMK,23.62337,58,7.758575,45,22.125,2024-08-08T19:26:21.412Z
181.3288,2,2,2,2,60.81614,Forssa,HAMK,23.62337,45,7.816855,34,22.125,2024-08-08T19:38:30.763Z
180.6989,2,2,2,2,60.81614,Forssa,HAMK,23.62337,30,7.806878,20,22.125,2024-08-08T19:43:41.740Z
